sentence,sentiment,topic,processed_ml,processed_phobert
đôi khi còn giảng dạy khô cứng .,0,0,đôi_khi còn giảng_dạy khô cứng .,đôi khi còn giảng dạy khô cứng .
"cô quan tâm sinh viên , giảng bài hay dễ hiểu , yêu cô colonhihi .",2,0,cô quan_tâm sinh_viên giảng_bài hay dễ hiểu yêu cô colonhihi .,"cô quan tâm sinh viên , giảng bài hay dễ hiểu , yêu cô colonhihi ."
dành quá nhiều thời gian trên lớp để chép bài lên bảng .,0,0,dành quá nhiều thời_gian trên lớp để chép bài lên bảng .,dành quá nhiều thời gian trên lớp để chép bài lên bảng .
"thầy có kiến thức sâu rộng , chúng em cần phải học hỏi nhiều ở thầy .",2,0,thầy có kiến_thức sâu_rộng chúng_em cần phải học_hỏi nhiều ở thầy .,"thầy có kiến thức sâu rộng , chúng em cần phải học hỏi nhiều ở thầy ."
"theo như yêu cầu của môn học , sinh viên phải mang lap để làm bài tập , tuy nhiên ổ cắm trong phòng chỉ có 2 ổ , không đáp ứng được nhu cầu dạy và học của giảng viên lẫn sinh viên .",0,2,theo như yêu_cầu của môn_học sinh_viên phải mang lap để làm bài_tập tuy_nhiên ổ_cắm trong phòng chỉ có 2 ổ không đáp_ứng được nhu_cầu dạy và học của giảng_viên lẫn sinh_viên .,"theo như yêu cầu của môn học , sinh viên phải mang lap để làm bài tập , tuy nhiên ổ cắm trong phòng chỉ có 2 ổ , không đáp ứng được nhu cầu dạy và học của giảng viên lẫn sinh viên ."
cần nâng cao chất lượng cơ sở vật chất hơn .,0,2,cần nâng cao chất_lượng cơ_sở vật_chất hơn .,cần nâng cao chất lượng cơ sở vật chất hơn .
giảng viên nên giảng bài cụ thể hơn .,0,0,giảng_viên nên giảng_bài cụ_thể hơn .,giảng viên nên giảng bài cụ thể hơn .
được giảng viên hướng dẫn cụ thể dễ hiểu .,2,3,được giảng_viên hướng_dẫn cụ_thể dễ hiểu .,được giảng viên hướng dẫn cụ thể dễ hiểu .
giảng viên ít giảng sâu về các ví dụ .,0,0,giảng_viên ít giảng sâu về các ví_dụ .,giảng viên ít giảng sâu về các ví dụ .
"giảng viên dạy hay , dễ hiểu , nhiệt tình , khối lượng kiến thức được giảm tải để có thể nhớ phần trọng tâm .",2,0,giảng_viên dạy hay dễ hiểu nhiệt_tình khối_lượng kiến_thức được giảm tải để có_thể nhớ phần trọng_tâm .,"giảng viên dạy hay , dễ hiểu , nhiệt tình , khối lượng kiến thức được giảm tải để có thể nhớ phần trọng tâm ."
"thật sự bọn em cũng cạn lời , đành ngậm ngùi mò lên mạng tra search các kiểu hơn một tiếng đồng hồ mới làm được một câu .",0,3,thật_sự bọn em cũng cạn lời đành ngậm_ngùi mò lên mạng_tra search các kiểu hơn một tiếng đồng_hồ mới làm được một câu .,"thật sự bọn em cũng cạn lời , đành ngậm ngùi mò lên mạng tra search các kiểu hơn một tiếng đồng hồ mới làm được một câu ."
"thầy dạy giỏi , quan tâm tới học sinh , vui tính , mong là ngày nào đó thầy sẽ dạy lại lớp em .",2,0,thầy dạy giỏi quan_tâm tới học_sinh vui_tính mong là ngày nào đó thầy sẽ dạy lại lớp em .,"thầy dạy giỏi , quan tâm tới học sinh , vui tính , mong là ngày nào đó thầy sẽ dạy lại lớp em ."
môn học rất có ích .,2,1,môn_học rất có_ích .,môn học rất có ích .
nên đi sâu hơn vào nhưng vấn đề quan trọng và tránh đi quá sâu vào những vấn đề cơ bản và quen thuộc .,0,0,nên đi_sâu hơn vào nhưng vấn_đề quan_trọng và tránh đi quá sâu vào những vấn_đề cơ_bản và quen_thuộc .,nên đi sâu hơn vào nhưng vấn đề quan trọng và tránh đi quá sâu vào những vấn đề cơ bản và quen thuộc .
"bài tập được làm nhiều , ân cần , tận tụy .",2,0,bài_tập được làm nhiều ân_cần tận tụy .,"bài tập được làm nhiều , ân cần , tận tụy ."
"giảng viên thường hay cho lớp nghỉ , một kỳ nghỉ tới 4 - 5 lần , khả năng truyền đạt cần cải thiện thêm .",0,0,giảng_viên thường hay cho lớp nghỉ một kỳ nghỉ tới 4 - 5 lần khả_năng truyền_đạt cần cải_thiện thêm .,"giảng viên thường hay cho lớp nghỉ , một kỳ nghỉ tới 4 - 5 lần , khả năng truyền đạt cần cải thiện thêm ."
cách truyền đạt chưa thực sự hiệu quả .,0,0,cách truyền_đạt chưa thực_sự hiệu_quả .,cách truyền đạt chưa thực sự hiệu quả .
"giảng viên nhiệt tình thân thiện , giảng dạy có kế hoạch , đảm bảo kiến thức .",2,0,giảng_viên nhiệt_tình thân_thiện giảng_dạy có kế_hoạch đảm_bảo kiến_thức .,"giảng viên nhiệt tình thân thiện , giảng dạy có kế hoạch , đảm bảo kiến thức ."
cố gắng làm nhiều bài tập hơn nữa .,2,1,cố_gắng làm nhiều bài_tập hơn_nữa .,cố gắng làm nhiều bài tập hơn nữa .
thầy nên cho những ví dụ code demo để sinh viên hiểu hơn .,0,0,thầy nên cho những ví_dụ code demo để sinh_viên hiểu hơn .,thầy nên cho những ví dụ code demo để sinh viên hiểu hơn .
môn học không hữu ích đối với ngành học của em .,0,1,môn_học không hữu_ích đối_với ngành học của em .,môn học không hữu ích đối với ngành học của em .
"phương pháp dạy nhàm chán , chỉ đọc slide .",0,0,phương_pháp dạy nhàm chán chỉ đọc slide .,"phương pháp dạy nhàm chán , chỉ đọc slide ."
"cô dễ thương , giải đáp thắc mắc tận tình .",2,0,cô dễ_thương giải_đáp thắc_mắc tận_tình .,"cô dễ thương , giải đáp thắc mắc tận tình ."
"thưa , thầy luôn đặt nền tảng kỹ và cho chúng em tìm tòi học hỏi nâng cao .",2,0,thưa thầy luôn đặt nền_tảng kỹ và cho chúng_em tìm_tòi học_hỏi nâng cao .,"thưa , thầy luôn đặt nền tảng kỹ và cho chúng em tìm tòi học hỏi nâng cao ."
giáo viên để sinh viên tự học nhiều hơn .,0,0,giáo_viên để sinh_viên tự học nhiều hơn .,giáo viên để sinh viên tự học nhiều hơn .
cô dạy tốt truyền đạt hay dễ hiểu .,2,0,cô dạy tốt truyền_đạt hay dễ hiểu .,cô dạy tốt truyền đạt hay dễ hiểu .
"nội dung môn học chưa thống nhất , mỗi giáo viên dạy khác nhau , không thống nhất giữa các năm .",0,1,nội_dung môn_học chưa thống_nhất mỗi giáo_viên dạy khác nhau không thống_nhất giữa các năm .,"nội dung môn học chưa thống nhất , mỗi giáo viên dạy khác nhau , không thống nhất giữa các năm ."
"giảng viên thực hành quá khắt khe trong việc chấm và nộp bài , xin coi code của bọn em khi bọn em sai hay quên xóa file .",0,0,giảng_viên thực_hành quá khắt_khe trong việc chấm và nộp bài xin coi_code của bọn em khi bọn em sai hay quên xóa file .,"giảng viên thực hành quá khắt khe trong việc chấm và nộp bài , xin coi code của bọn em khi bọn em sai hay quên xóa file ."
"giảng viên đến lớp trễ , thường xuyên vắng nhưng không báo trước .",0,0,giảng_viên đến lớp trễ thường_xuyên vắng nhưng không báo trước .,"giảng viên đến lớp trễ , thường xuyên vắng nhưng không báo trước ."
"thầy nhiệt tình giảng dạy , nhiều vấn đề rất hay cần thiết cho sinh viên .",2,0,thầy nhiệt_tình giảng_dạy nhiều vấn_đề rất hay cần_thiết cho sinh_viên .,"thầy nhiệt tình giảng dạy , nhiều vấn đề rất hay cần thiết cho sinh viên ."
chưa bao giờ gặp mặt giáo viên từ lúc bắt đầu học đến bây giờ !,1,0,chưa bao_giờ gặp_mặt giáo_viên từ lúc bắt_đầu học đến bây_giờ !,chưa bao giờ gặp mặt giáo viên từ lúc bắt đầu học đến bây giờ !
"giảng dạy tận tâm , nhiệt tình tạo điều kiện phát triển kiến thức cho sinh viên .",2,0,giảng_dạy tận_tâm nhiệt_tình tạo điều_kiện phát_triển kiến_thức cho sinh_viên .,"giảng dạy tận tâm , nhiệt tình tạo điều kiện phát triển kiến thức cho sinh viên ."
"giảng viên nhiệt tình , giảng dạy theo hướng mở để sinh viên có thể tự nghiên cứu thêm ngoài chương trình .",2,0,giảng_viên nhiệt_tình giảng_dạy theo hướng mở để sinh_viên có_thể tự nghiên_cứu thêm ngoài chương_trình .,"giảng viên nhiệt tình , giảng dạy theo hướng mở để sinh viên có thể tự nghiên cứu thêm ngoài chương trình ."
thầy dạy vui và dễ hiểu .,2,0,thầy dạy vui và dễ hiểu .,thầy dạy vui và dễ hiểu .
em rất thích cô .,2,0,em rất thích cô .,em rất thích cô .
giảng viên áp dụng nhiều phương thức giảng dạy độc đáo .,2,0,giảng_viên áp_dụng nhiều phương_thức giảng_dạy độc_đáo .,giảng viên áp dụng nhiều phương thức giảng dạy độc đáo .
cần phải có phương pháp giảng dạy linh hoạt và sáng tạo để gây hứng thú cho người học .,0,0,cần phải có phương_pháp giảng_dạy linh_hoạt và sáng_tạo để gây hứng_thú cho người học .,cần phải có phương pháp giảng dạy linh hoạt và sáng tạo để gây hứng thú cho người học .
"giáo viên tuyệt vời , đẹp trai , vui tính , đá bóng hay .",2,0,giáo_viên tuyệt_vời đẹp_trai vui_tính đá bóng hay .,"giáo viên tuyệt vời , đẹp trai , vui tính , đá bóng hay ."
cần thay đổi giáo trình cho phù hợp với kiến thức sinh viên .,0,1,cần thay_đổi giáo_trình cho phù_hợp với kiến_thức sinh_viên .,cần thay đổi giáo trình cho phù hợp với kiến thức sinh viên .
về thái độ giải đáp thắc mắc cho sinh viên của giảng viên cảm giác rất khó chịu làm cho sinh viên không muốn hỏi thêm điều gì nữa .,0,0,về thái_độ giải_đáp thắc_mắc cho sinh_viên của giảng_viên cảm_giác rất khó_chịu làm cho sinh_viên không muốn hỏi thêm điều gì nữa .,về thái độ giải đáp thắc mắc cho sinh viên của giảng viên cảm giác rất khó chịu làm cho sinh viên không muốn hỏi thêm điều gì nữa .
"bài giảng dễ hiểu , có kèm theo ví dụ cụ thể , thân thiện với sinh viên , giải đáp ngay khi sinh viên có câu hỏi .",2,1,bài giảng dễ hiểu có kèm theo ví_dụ cụ_thể thân_thiện với sinh_viên giải_đáp ngay khi sinh_viên có câu hỏi .,"bài giảng dễ hiểu , có kèm theo ví dụ cụ thể , thân thiện với sinh viên , giải đáp ngay khi sinh viên có câu hỏi ."
hài hước .,2,3,hài_hước .,hài hước .
thầy dạy rất trầm .,0,0,thầy dạy rất trầm .,thầy dạy rất trầm .
thầy dạy ứng dụng thực tế nên rất dễ hiểu .,2,0,thầy dạy ứng_dụng thực_tế nên rất dễ hiểu .,thầy dạy ứng dụng thực tế nên rất dễ hiểu .
sinh viên được được thuyết trình nhưng thật sự chưa hiểu quả .,0,1,sinh_viên được thuyết_trình nhưng thật_sự chưa hiểu quả .,sinh viên được được thuyết trình nhưng thật sự chưa hiểu quả .
thầy ra bài tập nhiều nâng cao năng lực thực hành .,2,0,thầy ra bài_tập nhiều nâng cao năng_lực thực_hành .,thầy ra bài tập nhiều nâng cao năng lực thực hành .
thầy rất gần gũi và hướng dẫn tốt cho sinh viên .,2,0,thầy rất gần_gũi và hướng_dẫn tốt cho sinh_viên .,thầy rất gần gũi và hướng dẫn tốt cho sinh viên .
nhiệt tình và giảng dễ hiểu .,2,0,nhiệt_tình và giảng dễ hiểu .,nhiệt tình và giảng dễ hiểu .
gộp chung 2 lớp khác khóa lại với nhau dẫn đến sự không cân bằng về kiến thức giữa 2 lớp gây khó khăn cho lớp dưới .,0,0,gộp chung 2 lớp khác khóa lại với nhau dẫn đến sự không cân_bằng về kiến_thức giữa 2 lớp gây khó_khăn cho lớp dưới .,gộp chung 2 lớp khác khóa lại với nhau dẫn đến sự không cân bằng về kiến thức giữa 2 lớp gây khó khăn cho lớp dưới .
"thầy tâm lý , dạy hay .",2,0,thầy tâm_lý dạy hay .,"thầy tâm lý , dạy hay ."
"thầy dạy tận tình , tạo không khí mới mẻ cho buổi học .",2,0,thầy dạy tận_tình_tạo không_khí mới_mẻ cho buổi học .,"thầy dạy tận tình , tạo không khí mới mẻ cho buổi học ."
"giảng viên khá hài hước , mang lại tiếng cười cho lớp trong quá trình giảng dạy .",2,0,giảng_viên khá hài_hước mang lại tiếng cười cho lớp trong quá_trình giảng_dạy .,"giảng viên khá hài hước , mang lại tiếng cười cho lớp trong quá trình giảng dạy ."
kiến thức của cô chuyên sâu .,2,1,kiến_thức của cô chuyên_sâu .,kiến thức của cô chuyên sâu .
giảng viên hay nhớ nhầm việc dạy lớp này sang lớp khác .,0,0,giảng_viên hay nhớ nhầm việc dạy lớp này sang lớp khác .,giảng viên hay nhớ nhầm việc dạy lớp này sang lớp khác .
"thầy dạy rất tốt , em cảm thấy dễ hiểu .",2,0,thầy dạy rất tốt em cảm_thấy dễ hiểu .,"thầy dạy rất tốt , em cảm thấy dễ hiểu ."
"sinh viên năm 3 trở lên đều có laptop cả rồi , vậy nên vào phòng máy là không cần thiết .",0,1,sinh_viên năm 3 trở lên đều có laptop cả rồi vậy nên vào phòng máy là không cần_thiết .,"sinh viên năm 3 trở lên đều có laptop cả rồi , vậy nên vào phòng máy là không cần thiết ."
"máy chiếu phòng wzjwz104 rất hay tắt , mở được một lúc là nóng quá rồi tắt , không sử dụng được nữa .",0,2,máy chiếu phòng wzjwz104 rất hay tắt mở được một lúc là nóng quá rồi tắt không sử_dụng được nữa .,"máy chiếu phòng wzjwz104 rất hay tắt , mở được một lúc là nóng quá rồi tắt , không sử dụng được nữa ."
"giảng viên nhiệt tình , tận tâm , tích cực trao đổi với sinh viên về kiến thức trong và ngoài chương trình .",2,0,giảng_viên nhiệt_tình tận_tâm tích_cực trao_đổi với sinh_viên về kiến_thức trong và ngoài chương_trình .,"giảng viên nhiệt tình , tận tâm , tích cực trao đổi với sinh viên về kiến thức trong và ngoài chương trình ."
"nói rõ nội dung môn học , mục tiêu .",0,1,nói rõ nội_dung môn_học mục_tiêu .,"nói rõ nội dung môn học , mục tiêu ."
vui vẻ .,2,0,vui_vẻ .,vui vẻ .
"phòng học buổi trưa rất nóng , có thể trang bị thêm quạt thì tốt hơn .",0,2,phòng học buổi trưa rất nóng có_thể trang_bị thêm quạt thì tốt hơn .,"phòng học buổi trưa rất nóng , có thể trang bị thêm quạt thì tốt hơn ."
"thầy rất nhiệt tình , luôn đưa ra những ví dụ thực tế rất sinh động .",2,0,thầy rất nhiệt_tình luôn đưa ra những ví_dụ thực_tế rất sinh_động .,"thầy rất nhiệt tình , luôn đưa ra những ví dụ thực tế rất sinh động ."
"giáo viên dạy hay , nhiệt tình và cập nhật các kiến thức bên ngoài vào trong bài giảng .",2,0,giáo_viên dạy hay nhiệt_tình và cập_nhật các kiến_thức bên ngoài vào trong bài giảng .,"giáo viên dạy hay , nhiệt tình và cập nhật các kiến thức bên ngoài vào trong bài giảng ."
nhà trường nên cho thực hành mỗi tuần một lần .,0,1,nhà_trường nên cho thực_hành mỗi tuần một lần .,nhà trường nên cho thực hành mỗi tuần một lần .
giảng viên ôn thi chuẩn xác .,2,0,giảng_viên ôn_thi chuẩn_xác .,giảng viên ôn thi chuẩn xác .
lý do doubledot tới ngày thi ngồi ngay 2 máy hư .,0,2,lý_do doubledot tới ngày thi ngồi ngay 2 máy hư .,lý do doubledot tới ngày thi ngồi ngay 2 máy hư .
thầy tạo được sự hứng thú với môn học .,2,0,thầy tạo được sự hứng_thú với môn_học .,thầy tạo được sự hứng thú với môn học .
"thời lượng thực hành quá ít , kiến thức mới mà hướng dẫn ít !",0,1,thời_lượng thực_hành quá ít kiến_thức mới mà hướng_dẫn ít !,"thời lượng thực hành quá ít , kiến thức mới mà hướng dẫn ít !"
"dạy dễ hiểu , hài hước !",2,0,dạy dễ hiểu hài_hước !,"dạy dễ hiểu , hài hước !"
nhàm chán .,0,3,nhàm chán .,nhàm chán .
"nhiệt tình , vui tính .",2,0,nhiệt_tình vui_tính .,"nhiệt tình , vui tính ."
"giáo viên dễ tính , dạy hay .",2,0,giáo_viên dễ_tính dạy hay .,"giáo viên dễ tính , dạy hay ."
"nhiệt tình , gần gũi sinh viên .",2,0,nhiệt_tình gần_gũi sinh_viên .,"nhiệt tình , gần gũi sinh viên ."
"môn học cần được thiết kế chi tiết hơn từng phần học cụ thể để sinh viên dễ tiếp cận như doubledot học lập trình console và win form lẫn lộn , sinh viên chưa có cái nhìn khái quát và tổng thể về vấn đề cần làm dẫn đến khó tìm lối đi trong sự hỗn loạn kiễn thức , không có phương hướng kết quả học tập không cao , không hứng thú và đam mê .",0,1,môn_học cần được thiết_kế chi_tiết hơn từng phần học cụ_thể để sinh_viên dễ tiếp_cận như doubledot_học lập_trình console và win_form lẫn_lộn sinh_viên chưa có cái nhìn khái_quát và tổng_thể về vấn_đề cần làm dẫn đến khó tìm lối đi trong sự hỗn_loạn kiễn_thức không có phương_hướng kết_quả học_tập không cao không hứng_thú và đam_mê .,"môn học cần được thiết kế chi tiết hơn từng phần học cụ thể để sinh viên dễ tiếp cận như doubledot học lập trình console và win form lẫn lộn , sinh viên chưa có cái nhìn khái quát và tổng thể về vấn đề cần làm dẫn đến khó tìm lối đi trong sự hỗn loạn kiễn thức , không có phương hướng kết quả học tập không cao , không hứng thú và đam mê ."
thầy rất quan tâm đến khó khăn gặp phải của sinh viên trong lúc thực hành .,2,0,thầy rất quan_tâm đến khó_khăn gặp phải của sinh_viên trong lúc thực_hành .,thầy rất quan tâm đến khó khăn gặp phải của sinh viên trong lúc thực hành .
"việc truyền đạt kiến thức chưa sâu , em thấy vẫn mông lung sau mỗi tiết học , chỉ hiểu sơ sơ .",0,0,việc truyền_đạt kiến_thức chưa sâu em thấy vẫn mông lung_sau mỗi tiết_học chỉ hiểu sơ .,"việc truyền đạt kiến thức chưa sâu , em thấy vẫn mông lung sau mỗi tiết học , chỉ hiểu sơ sơ ."
"giáo viên nhiệt tình , truyền đạt tốt .",2,0,giáo_viên nhiệt_tình truyền_đạt tốt .,"giáo viên nhiệt tình , truyền đạt tốt ."
"không nên "" hù dọa "" sinh viên ở phía trước mỗi bài toán mà phải biến nó thành đơn giản để thực thi bài toán giảng viên cần phải làm những bài tập mẫu hơn là cho mấy trăm bài tập .",0,1,"không nên "" hù_dọa "" sinh_viên ở phía trước mỗi bài_toán mà phải biến nó thành đơn_giản để thực_thi bài_toán giảng_viên cần phải làm những bài_tập mẫu hơn là cho mấy trăm bài_tập .","không nên "" hù dọa "" sinh viên ở phía trước mỗi bài toán mà phải biến nó thành đơn giản để thực thi bài toán giảng viên cần phải làm những bài tập mẫu hơn là cho mấy trăm bài tập ."
cách dạy của giáo viên rất tốt .,2,0,cách dạy của giáo_viên rất tốt .,cách dạy của giáo viên rất tốt .
dạy hơi nhanh quá .,0,0,dạy hơi nhanh quá .,dạy hơi nhanh quá .
"anh wzjwz278 như một người bạn vậy , rất gần gũi , thoải mái khi giao tiếp với sinh viên , kiến thức học được từ anh rất đầy đủ .",2,0,anh wzjwz278 như một người bạn vậy rất gần_gũi thoải_mái khi giao_tiếp với sinh_viên kiến_thức học được từ anh rất đầy_đủ .,"anh wzjwz278 như một người bạn vậy , rất gần gũi , thoải mái khi giao tiếp với sinh viên , kiến thức học được từ anh rất đầy đủ ."
thầy lên lớp không đúng thời gian và không quan tâm sinh viên .,0,0,thầy lên lớp không đúng thời_gian và không quan_tâm sinh_viên .,thầy lên lớp không đúng thời gian và không quan tâm sinh viên .
em thấy phòng thư viện tầng trên mà bọn em học không hề phù hợp với việc học anh văn vì thiết kế bảng và hệ thống máy tính khiến bọn em cứ phải mỏi cổ ngoảnh sang trái hoặc sang phải suốt cả buổi học vì bọn em cũng chả dùng máy tính để làm gì trong giờ học anh văn cả .,0,1,em thấy phòng thư_viện tầng trên mà bọn em học không hề phù_hợp với việc học anh văn vì thiết_kế bảng và hệ_thống máy_tính khiến bọn em cứ phải mỏi cổ_ngoảnh sang trái hoặc sang phải suốt cả buổi học vì bọn em cũng chả dùng máy_tính để làm_gì trong giờ học anh văn_cả .,em thấy phòng thư viện tầng trên mà bọn em học không hề phù hợp với việc học anh văn vì thiết kế bảng và hệ thống máy tính khiến bọn em cứ phải mỏi cổ ngoảnh sang trái hoặc sang phải suốt cả buổi học vì bọn em cũng chả dùng máy tính để làm gì trong giờ học anh văn cả .
thân thiện với sinh viên .,2,0,thân_thiện với sinh_viên .,thân thiện với sinh viên .
"cập nhật tính thời sự trong môn học , cung cấp tài liệu đọc thêm bổ ích .",2,1,cập_nhật_tính thời_sự trong môn_học cung_cấp tài_liệu đọc thêm bổ_ích .,"cập nhật tính thời sự trong môn học , cung cấp tài liệu đọc thêm bổ ích ."
"giảng viên dạy rất buồn ngủ , không thu hút sinh viên vào bài giảng .",0,0,giảng_viên dạy rất buồn_ngủ không thu_hút sinh_viên vào bài giảng .,"giảng viên dạy rất buồn ngủ , không thu hút sinh viên vào bài giảng ."
giọng hơi khó nghe .,0,0,giọng hơi khó nghe .,giọng hơi khó nghe .
"giáo trình tốt , kiến thức trọng tâm .",2,1,giáo_trình tốt kiến_thức trọng_tâm .,"giáo trình tốt , kiến thức trọng tâm ."
cô rất dễ thương và được nhiều sinh viên yêu quý ạ .,2,0,cô rất dễ_thương và được nhiều sinh_viên yêu quý ạ .,cô rất dễ thương và được nhiều sinh viên yêu quý ạ .
cô dạy khá dễ hiểu và cô khá thoải mái .,2,0,cô dạy khá dễ hiểu và cô khá thoải_mái .,cô dạy khá dễ hiểu và cô khá thoải mái .
hoàn toàn không hài lòng với cách đánh giá của thầy .,0,0,hoàn_toàn không hài_lòng với cách đánh_giá của thầy .,hoàn toàn không hài lòng với cách đánh giá của thầy .
không có gì cả ạ .,1,3,không có gì cả ạ .,không có gì cả ạ .
thầy dạy buồn ngủ .,0,0,thầy dạy buồn_ngủ .,thầy dạy buồn ngủ .
giảng viên trợ giúp nhiệt tình .,2,0,giảng_viên trợ_giúp nhiệt_tình .,giảng viên trợ giúp nhiệt tình .
qua đó sẽ hiểu được thật sâu và rõ những lý thuyết đã được học .,2,1,qua đó sẽ hiểu được thật sâu và rõ những lý_thuyết đã được học .,qua đó sẽ hiểu được thật sâu và rõ những lý thuyết đã được học .
giảng viên thường không lên lớp nếu có lên lớp thì chỉ ngồi lỳ một chổ không giảng bài hay hướng dẫn sinh viên thực hành .,0,0,giảng_viên thường không lên lớp nếu có lên_lớp thì chỉ ngồi lỳ một chổ không giảng_bài hay hướng_dẫn sinh_viên thực_hành .,giảng viên thường không lên lớp nếu có lên lớp thì chỉ ngồi lỳ một chổ không giảng bài hay hướng dẫn sinh viên thực hành .
"thầy wzjwz262 nhiệt tình , truyền đạt tốt kiến thức , giới thiệu thêm nhiều nguồn tài liệu cho sinh viên .",2,0,thầy wzjwz262 nhiệt_tình truyền_đạt tốt kiến_thức giới_thiệu thêm nhiều nguồn tài_liệu cho sinh_viên .,"thầy wzjwz262 nhiệt tình , truyền đạt tốt kiến thức , giới thiệu thêm nhiều nguồn tài liệu cho sinh viên ."
mục tiêu môn học nên đặt ra là doubledot sinh viên được giới thiệu những gì .,0,1,mục_tiêu môn_học nên đặt ra là doubledot sinh_viên được giới_thiệu những gì .,mục tiêu môn học nên đặt ra là doubledot sinh viên được giới thiệu những gì .
"thầy dạy rất hay , kiến thức rất thực tế , theo sát sinh viên từng bước một , hướng dẫn tận tình tận tâm , truyền đặt kiến thức dễ hiểu , thuyết phục .",2,0,thầy dạy rất hay kiến_thức rất thực_tế theo sát sinh_viên từng bước một hướng_dẫn tận_tình tận_tâm truyền_đặt kiến_thức dễ hiểu thuyết_phục .,"thầy dạy rất hay , kiến thức rất thực tế , theo sát sinh viên từng bước một , hướng dẫn tận tình tận tâm , truyền đặt kiến thức dễ hiểu , thuyết phục ."
"lớp hay nghỉ , giáo viên chưa tận tình lắm .",0,0,lớp hay nghỉ giáo_viên chưa tận_tình lắm .,"lớp hay nghỉ , giáo viên chưa tận tình lắm ."
"nhiệt tình , thầy dạy kỹ .",2,0,nhiệt_tình thầy dạy kỹ .,"nhiệt tình , thầy dạy kỹ ."
thầy dạy không tạo được sự hứng thú .,0,0,thầy dạy không tạo được sự hứng_thú .,thầy dạy không tạo được sự hứng thú .
thầy dạy rất tốt và trả lời các câu hỏi của sinh viên rất nhanh và chính xác .,2,0,thầy dạy rất tốt và trả_lời các câu hỏi của sinh_viên rất nhanh và chính_xác .,thầy dạy rất tốt và trả lời các câu hỏi của sinh viên rất nhanh và chính xác .
"giáo viên tận tâm , nhiệt tình , cách truyền đạt dễ tiếp thu .",2,0,giáo_viên tận_tâm nhiệt_tình cách truyền_đạt dễ tiếp_thu .,"giáo viên tận tâm , nhiệt tình , cách truyền đạt dễ tiếp thu ."
"thầy ví dụ thực tiễn , đáp ứng yêu cầu thực hành .",2,0,thầy ví_dụ thực_tiễn đáp_ứng yêu_cầu thực_hành .,"thầy ví dụ thực tiễn , đáp ứng yêu cầu thực hành ."
"giảng viên tận tâm , tạo sự chủ động trong học tập cho người học .",2,0,giảng_viên tận_tâm_tạo sự chủ_động trong học_tập cho người học .,"giảng viên tận tâm , tạo sự chủ động trong học tập cho người học ."
thầy thân thiện dạy nhiệt tình .,2,0,thầy thân_thiện dạy nhiệt_tình .,thầy thân thiện dạy nhiệt tình .
đủ tài liệu .,2,0,đủ tài_liệu .,đủ tài liệu .
cách chấm điểm các bài thực hành thông qua quay video thực sự chưa đánh giá đúng khả năng của sinh viên .,0,0,cách chấm điểm các bài thực_hành thông_qua quay video thực_sự chưa đánh_giá đúng khả_năng của sinh_viên .,cách chấm điểm các bài thực hành thông qua quay video thực sự chưa đánh giá đúng khả năng của sinh viên .
viết quá nhiều .,0,0,viết quá nhiều .,viết quá nhiều .
"thầy đi dạy luôn đảm bảo thời gian , giải đáp thắc mắc rất nhiệt tình , ra trễ hơn các môn khác từ 15 - 25 phút .",2,0,thầy đi dạy luôn đảm_bảo thời_gian giải_đáp thắc_mắc rất nhiệt_tình ra trễ hơn các môn khác từ 15 - 25 phút .,"thầy đi dạy luôn đảm bảo thời gian , giải đáp thắc mắc rất nhiệt tình , ra trễ hơn các môn khác từ 15 - 25 phút ."
thầy thường xuyên cho nghỉ trước khi kết thúc giờ học .,0,0,thầy thường_xuyên cho nghỉ trước khi kết_thúc giờ học .,thầy thường xuyên cho nghỉ trước khi kết thúc giờ học .
em muốn môn học gần với thực tế qua các ví dụ .,0,1,em muốn môn_học gần với thực_tế qua các ví_dụ .,em muốn môn học gần với thực tế qua các ví dụ .
"giảng dễ hiểu , vui tính và rất thân thiện với sinh viên .",2,0,giảng dễ hiểu vui_tính và rất thân_thiện với sinh_viên .,"giảng dễ hiểu , vui tính và rất thân thiện với sinh viên ."
em có ý kiến là nên hủy môn vật lý kỹ thuật .,0,0,em có ý_kiến là nên hủy_môn vật_lý kỹ_thuật .,em có ý kiến là nên hủy môn vật lý kỹ thuật .
giảng dạy tích cực .,2,0,giảng_dạy tích_cực .,giảng dạy tích cực .
"sự hướng dẫn thực hành tận tâm , nhiệt tình .",2,0,sự hướng_dẫn thực_hành tận_tâm nhiệt_tình .,"sự hướng dẫn thực hành tận tâm , nhiệt tình ."
hy vọng học kỳ tới thầy có thể kết thúc buổi học đúng giờ .,0,0,hy_vọng học_kỳ tới thầy có_thể kết_thúc buổi học đúng giờ .,hy vọng học kỳ tới thầy có thể kết thúc buổi học đúng giờ .
"giờ thực hành quá ít , bài tập thực hành hằng tuần đều đó , giảng viên hướng dẫn không có nhiều thời gian để hướng dẫn trực tiếp .",0,1,giờ thực_hành quá ít bài_tập thực_hành hằng tuần đều đó giảng_viên hướng_dẫn không có nhiều thời_gian để hướng_dẫn trực_tiếp .,"giờ thực hành quá ít , bài tập thực hành hằng tuần đều đó , giảng viên hướng dẫn không có nhiều thời gian để hướng dẫn trực tiếp ."
giảng viên có kiến thức chuyên sâu về môn học .,2,0,giảng_viên có kiến_thức chuyên_sâu về môn_học .,giảng viên có kiến thức chuyên sâu về môn học .
